sector,tic_id,windows,status
93,391922626,100,kept
93,31960529,100,kept
94,38760904,100,kept
94,383383977,100,kept
94,25116119,100,kept
94,766180021,100,kept
94,62377215,100,kept
94,382146692,100,kept
94,211037159,100,kept
94,271903417,100,kept
94,358401810,100,kept
94,150148654,100,kept
95,262609922,100,kept
95,410148949,100,kept
95,150273255,100,kept
95,150063444,100,kept
95,167526477,100,kept
95,150165735,100,kept
95,349642732,100,kept
95,32090581,100,kept
95,369705840,100,kept
95,31655134,100,kept
96,31506338,100,kept
96,206686292,100,kept
96,615827903,100,kept
96,140802488,100,kept
96,149125377,100,kept
96,12393800,100,kept
96,176935123,100,kept
97,309617509,100,kept
97,631765814,100,kept
97,278955742,100,kept
97,142852289,100,kept
97,159923287,100,kept
97,160004049,100,kept
97,38707949,100,kept
97,300142103,100,kept
97,179445380,100,kept
97,142146250,100,kept
98,24722438,100,kept
98,672881781,100,kept
98,139679837,100,kept
98,238196350,100,kept
98,412061338,100,kept
98,452787467,100,kept
98,672705011,100,kept
98,672133696,100,kept
98,237395141,100,kept
98,94988963,100,kept
99,931989980,100,kept
99,443471801,100,kept
99,13441775,100,kept
99,178653947,100,kept
99,448479988,100,kept
99,875970065,100,kept
99,446895445,100,kept
99,379546066,100,kept
99,80302288,100,kept
99,1005963203,100,kept
100,451210411,100,kept
100,26352390,100,kept
100,263782440,100,kept
100,57183789,100,kept
100,291321562,100,kept
100,283993815,100,kept
100,449076688,100,kept
100,310294189,100,kept
100,268477699,100,kept
100,245231230,100,kept
101,433276704,100,kept
101,371947250,100,kept
101,388857056,100,kept
101,1988687558,100,kept
101,437269250,100,kept
101,901004530,100,kept
101,256009337,100,kept
101,258236455,100,kept
101,454104578,100,kept
101,309734408,100,kept
102,369889157,100,kept
102,615867621,100,kept
102,616111416,100,kept
102,245430125,100,kept
102,303657171,100,kept
102,2026159537,100,kept
102,257573215,100,kept
102,245128327,100,kept
102,206967767,100,kept
102,2055363459,100,kept
103,1988551749,100,kept
103,298728773,100,kept
103,24985783,100,kept
103,2026510982,100,kept
103,1691534869,100,kept
103,76761591,100,kept
103,140769775,100,kept
103,380394028,100,kept
103,74426136,100,kept
103,278425683,100,kept
104,166548234,100,kept
104,142150819,100,kept
104,1924088211,100,kept
104,140492931,100,kept
104,1702139651,100,kept
104,337872715,100,kept
104,118395344,100,kept
104,406323142,100,kept
104,59675401,100,kept
104,206365884,100,kept
